id;categoria;fecha_otorgamiento;fecha_vencimiento
1;Ameliorated;2019-10-21T15:18:49;2019-10-20T20:38:04
2;navigating;2019-10-21T03:02:04;2019-10-21T03:12:50
3;Rustic Frozen Keyboard ROI;2019-10-21T13:58:58;2019-10-21T06:33:23
4;microchip;2019-10-21T03:53:35;2019-10-20T21:18:26
5;invoice;2019-10-21T07:20:14;2019-10-21T02:01:42
6;Jamaica Credit Card Account;2019-10-21T09:40:03;2019-10-21T18:35:33
7;Louisiana;2019-10-21T15:55:49;2019-10-21T01:32:59
8;Garden;2019-10-21T16:57:07;2019-10-21T17:32:04
9;Small;2019-10-21T12:15:50;2019-10-20T23:12:25
10;Colombian Peso Unidad de Valor Real Bridge Handmade;2019-10-21T07:56:21;2019-10-21T00:22:19
