id;nombre_espacio_comun;disponibilidad_desde;disponibilidad_hasta;foto_espacio_comun;foto_espacio_comun_content_type;hora_desde;hora_hasta
1;Ergonomic Concrete Soap Zambian Kwacha;2019-10-21T11:07:49;2019-10-21T16:22:32;../fake-data/blob/hipster.png;image/png;2019-10-21T13:38:16;2019-10-21T07:17:52
2;FTP;2019-10-21T01:57:34;2019-10-20T23:22:11;../fake-data/blob/hipster.png;image/png;2019-10-21T03:00:34;2019-10-21T16:27:32
3;array France protocol;2019-10-21T09:39:47;2019-10-21T00:17:43;../fake-data/blob/hipster.png;image/png;2019-10-21T13:35:20;2019-10-20T22:55:41
4;Senior Avon;2019-10-21T07:42:05;2019-10-21T04:40:06;../fake-data/blob/hipster.png;image/png;2019-10-21T00:34:44;2019-10-21T15:04:30
5;Handcrafted Cotton Bacon Unbranded Fresh Pants;2019-10-21T19:04:29;2019-10-21T10:43:26;../fake-data/blob/hipster.png;image/png;2019-10-21T05:50:42;2019-10-21T17:28:56
6;North Dakota Garden;2019-10-21T08:33:48;2019-10-21T16:01:00;../fake-data/blob/hipster.png;image/png;2019-10-21T06:42:52;2019-10-20T20:10:25
7;generating;2019-10-20T23:05:17;2019-10-21T19:00:20;../fake-data/blob/hipster.png;image/png;2019-10-21T13:43:54;2019-10-21T18:50:29
8;compressing;2019-10-21T11:05:35;2019-10-21T06:50:52;../fake-data/blob/hipster.png;image/png;2019-10-21T16:41:18;2019-10-21T11:53:53
9;synthesizing composite;2019-10-20T20:34:19;2019-10-21T04:47:18;../fake-data/blob/hipster.png;image/png;2019-10-21T08:45:48;2019-10-21T17:41:22
10;Intelligent Granite Shirt Peru deposit;2019-10-21T02:18:42;2019-10-21T16:33:06;../fake-data/blob/hipster.png;image/png;2019-10-20T20:19:03;2019-10-20T20:28:09
