id;autorizado_previo;acompaniantes;fecha_ingreso;fecha_egreso;tipovisita;ingreso_a_pie
1;false;34630;2019-10-21T15:34:51;2019-10-21T08:35:08;withdrawal Generic Frozen Tuna;true
2;false;26089;2019-10-21T10:44:50;2019-10-21T19:22:13;Optimization Cambridgeshire;true
3;true;68396;2019-10-21T15:49:38;2019-10-21T04:57:27;Web;true
4;false;86719;2019-10-21T05:40:45;2019-10-21T04:27:51;multi-byte Jamaican Dollar North Carolina;false
5;false;81120;2019-10-21T06:38:35;2019-10-21T00:02:33;Investment Account parsing invoice;false
6;false;27396;2019-10-21T18:04:23;2019-10-21T14:35:15;utilize;false
7;false;61825;2019-10-21T03:20:45;2019-10-21T11:39:38;withdrawal;false
8;true;68161;2019-10-21T19:10:45;2019-10-21T11:33:46;directional Avon Solomon Islands Dollar;false
9;true;93664;2019-10-20T22:40:43;2019-10-21T18:47:50;schemas Specialist China;false
10;true;56852;2019-10-21T00:22:26;2019-10-21T05:54:56;interface Cotton Robust;true
