id;codigo_qr;fecha_fin_qr;foto_qr;foto_qr_content_type;tipo_visira
1;mobile Fish;2019-10-23T02:09:27;../fake-data/blob/hipster.png;image/png;Savings Account Dam
2;Practical Fresh Pants;2019-10-23T06:26:36;../fake-data/blob/hipster.png;image/png;alarm
3;Tasty Metal Bacon;2019-10-22T22:20:42;../fake-data/blob/hipster.png;image/png;Electronics
4;Soap methodology Albania;2019-10-23T10:30:12;../fake-data/blob/hipster.png;image/png;intangible
5;enable Gorgeous Frozen Pants;2019-10-23T15:17:01;../fake-data/blob/hipster.png;image/png;Licensed Savings Account
6;Cambridgeshire Mississippi;2019-10-23T19:45:19;../fake-data/blob/hipster.png;image/png;Credit Card Account Table Small Frozen Sausages
7;South Dakota envisioneer Music;2019-10-23T15:19:43;../fake-data/blob/hipster.png;image/png;Monitored Bahamian Dollar Investment Account
8;Games Regional Digitized;2019-10-23T04:58:11;../fake-data/blob/hipster.png;image/png;hardware Costa Rica Mayotte
9;Industrial;2019-10-23T00:39:19;../fake-data/blob/hipster.png;image/png;Views e-enable Communications
10;National Awesome sky blue;2019-10-23T19:47:04;../fake-data/blob/hipster.png;image/png;software scale interactive
